frame,time_s,lateral_offset_m,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode
140,56.569,-0.0016,-0.0,4.848,-0.0007,0.046,0.0,AUTO
141,56.67,-0.0016,-0.0,4.847,-0.0007,0.046,0.0,AUTO
142,56.803,-0.0016,-0.0,4.844,-0.0007,0.047,0.0,AUTO
143,56.903,-0.0016,-0.0,4.837,-0.0007,0.049,0.0,AUTO
144,57.006,-0.0016,-0.0,4.832,-0.0007,0.05,0.0,AUTO
145,57.103,-0.0016,0.0,4.835,-0.0007,0.049,0.0,AUTO
146,57.202,-0.0016,0.0,4.834,-0.0007,0.05,0.0,AUTO
147,57.336,-0.0016,0.0,4.832,-0.0007,0.05,0.0,AUTO
148,57.436,-0.0016,0.0,4.834,-0.0007,0.05,0.0,AUTO
149,57.541,-0.0016,0.0,4.836,-0.0007,0.049,0.0,AUTO
150,57.638,-0.0016,0.0,4.835,-0.0007,0.05,0.0,AUTO
151,57.737,-0.0016,0.0,4.836,-0.0007,0.049,0.0,AUTO
152,57.872,-0.0016,0.0,4.837,-0.0007,0.049,0.0,AUTO
153,58.005,-0.0016,0.0,4.839,-0.0007,0.048,0.0,AUTO
154,58.103,-0.0016,0.0,4.837,-0.0007,0.049,0.0,AUTO
155,58.21,-0.0016,0.0,4.834,-0.0007,0.05,0.0,AUTO
156,58.372,-0.0016,0.0,4.835,-0.0007,0.05,0.0,AUTO
157,58.503,-0.0016,0.0,4.836,-0.0007,0.049,0.0,AUTO
158,58.609,-0.0016,-0.0,4.84,-0.0007,0.048,0.0,AUTO
159,58.772,-0.0016,-0.0,4.836,-0.0007,0.049,0.0,AUTO
160,58.869,-0.0016,-0.0,4.836,-0.0007,0.049,0.0,AUTO
161,58.974,-0.0016,-0.0,4.834,-0.0007,0.05,0.0,AUTO
162,59.139,-0.0016,-0.0,4.833,-0.0007,0.05,0.0,AUTO
163,59.236,-0.0016,-0.0,4.836,-0.0007,0.049,0.0,AUTO
164,59.34,-0.0016,-0.0,4.836,-0.0007,0.049,0.0,AUTO
165,59.444,-0.0016,-0.0,4.837,-0.0007,0.049,0.0,AUTO
166,59.539,-0.0016,-0.0,4.837,-0.0007,0.049,0.0,AUTO
167,59.637,-0.0016,-0.0,4.837,-0.0007,0.049,0.0,AUTO
168,59.739,-0.0016,-0.0,4.838,-0.0007,0.049,0.0,AUTO
169,59.871,-0.0016,-0.0,4.835,-0.0007,0.049,0.0,AUTO
170,60.007,-0.0016,-0.0,4.833,-0.0007,0.05,0.0,AUTO
171,60.14,-0.0016,0.0,4.835,-0.0007,0.049,0.0,AUTO
172,60.269,-0.0016,0.0,4.837,-0.0007,0.049,0.0,AUTO
173,60.372,-0.0016,0.0,4.839,-0.0007,0.048,0.0,AUTO
174,60.471,-0.0016,0.0,4.836,-0.0007,0.049,0.0,AUTO
175,60.574,-0.0016,0.0,4.835,-0.0007,0.05,0.0,AUTO
176,60.673,-0.0016,0.0,4.838,-0.0007,0.049,0.0,AUTO
177,60.769,-0.0016,0.0,4.836,-0.0007,0.049,0.0,AUTO
178,60.87,-0.0016,0.0,4.834,-0.0007,0.05,0.0,AUTO
179,60.976,-0.0016,0.0,4.837,-0.0007,0.049,0.0,AUTO
180,61.07,-0.0016,0.0,4.835,-0.0007,0.049,0.0,AUTO
181,61.205,-0.0016,0.0,4.834,-0.0007,0.05,0.0,AUTO
182,61.339,-0.0016,0.0,4.837,-0.0007,0.049,0.0,AUTO
183,61.436,-0.0016,0.0,4.836,-0.0007,0.049,0.0,AUTO
184,61.539,-0.0016,-0.0,4.838,-0.0007,0.049,0.0,AUTO
185,61.637,-0.0016,-0.0,4.836,-0.0007,0.049,0.0,AUTO
186,61.737,-0.0016,-0.0,4.835,-0.0007,0.05,0.0,AUTO
187,61.837,-0.0016,-0.0,4.837,-0.0007,0.049,0.0,AUTO
188,61.938,-0.0016,-0.0,4.835,-0.0007,0.049,0.0,AUTO
189,62.038,-0.0016,-0.0,4.831,-0.0007,0.051,0.0,AUTO
190,62.137,-0.0016,-0.0,4.831,-0.0007,0.051,0.0,AUTO
191,62.273,-0.0016,-0.0,4.826,-0.0007,0.052,0.0,AUTO
192,62.371,-0.0016,-0.0,4.82,-0.0007,0.054,0.0,AUTO
193,62.475,-0.0016,-0.0,4.817,-0.0007,0.055,0.0,AUTO
194,62.573,-0.0016,-0.0,4.811,-0.0007,0.057,0.0,AUTO
195,62.67,-0.0016,-0.0,4.81,-0.0007,0.057,0.0,AUTO
196,62.769,-0.0016,0.0,4.807,-0.0007,0.058,0.0,AUTO
197,62.869,-0.0016,0.0,4.805,-0.0007,0.058,0.0,AUTO
198,62.974,-0.0016,0.0,4.813,-0.0007,0.056,0.0,AUTO
199,63.103,-0.0016,0.0,4.813,-0.0007,0.056,0.0,AUTO
200,63.207,-0.0016,0.0,4.807,-0.0007,0.058,0.0,AUTO
201,63.304,-0.0016,0.0,4.814,-0.0007,0.056,0.0,AUTO
202,63.408,-0.0016,0.0,4.814,-0.0007,0.056,0.0,AUTO
203,63.506,-0.0016,0.0,4.807,-0.0007,0.058,0.0,AUTO
204,63.605,-0.0016,0.0,4.803,-0.0007,0.059,0.0,AUTO
205,63.704,-0.0016,0.0,4.802,-0.0007,0.06,0.0,AUTO
206,63.839,-0.0016,0.0,4.796,-0.0007,0.061,0.0,AUTO
207,63.937,-0.0016,0.0,4.793,-0.0007,0.062,0.0,AUTO
208,64.043,-0.0016,0.0,4.79,-0.0007,0.063,0.0,AUTO
209,64.139,-0.0016,-0.0,4.783,-0.0007,0.065,0.0,AUTO
