frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows,curvature
98,48.733,-0.0016,0.0,2.761,-1.0,0.072,0.0,AUTO,0.0,-0.5,False,1,0.0
99,48.832,-0.0016,0.0,2.881,-1.0,0.036,0.0,AUTO,0.0,-0.5,False,1,0.0
100,48.962,-0.0016,0.0,2.954,1.0,0.014,0.0,AUTO,0.0,-0.5,False,1,0.0
101,49.064,-0.0016,0.0,3.017,1.0,0.0,0.005,AUTO,0.0,-0.5,False,1,0.0
102,49.162,-0.0016,0.0,2.973,1.0,0.008,0.0,AUTO,0.0,-0.5,False,1,0.0
103,49.262,-0.0016,0.0,2.841,1.0,0.048,0.0,AUTO,0.0,-0.5,False,1,0.0
104,49.364,-0.0016,0.0,2.708,-1.0,0.088,0.0,AUTO,0.0,-0.5,False,1,0.0
105,49.464,-0.0016,0.0,2.663,-1.0,0.101,0.0,AUTO,0.0,-0.5,False,1,0.0
106,49.597,-0.0016,0.0,2.742,-1.0,0.077,0.0,AUTO,0.0,-0.5,False,1,0.0
107,49.694,-0.0016,0.0,2.923,1.0,0.023,0.0,AUTO,0.0,-0.5,False,1,0.0
108,49.83,-0.0016,0.0,3.016,1.0,0.0,0.005,AUTO,0.0,-0.5,False,1,0.0
109,49.962,-0.0016,0.0,2.956,1.0,0.013,0.0,AUTO,0.0,-0.5,False,1,0.0
110,50.064,-0.0016,0.0,2.802,-1.0,0.059,0.0,AUTO,0.0,-0.5,False,1,0.0
111,50.162,-0.0016,0.0,2.752,-1.0,0.074,0.0,AUTO,0.0,-0.5,False,1,0.0
112,50.26,-0.0016,0.0,2.803,-1.0,0.059,0.0,AUTO,0.0,-0.5,False,2,0.0
113,50.363,-0.0016,0.0,2.906,-0.8725,0.028,0.0,AUTO,0.0,-0.5,False,1,0.0
114,50.467,-0.0016,0.0,2.975,1.0,0.008,0.0,AUTO,0.0,-0.5,False,1,0.0
115,50.564,-0.0016,0.0,3.014,1.0,0.0,0.004,AUTO,0.0,-0.5,False,1,0.0
116,50.663,-0.0016,0.0,2.955,1.0,0.013,0.0,AUTO,0.0,-0.5,False,1,0.0
117,50.763,-0.0016,0.0,2.825,1.0,0.052,0.0,AUTO,0.0,-0.5,False,0,0.0
118,50.862,-0.0016,0.0,2.726,-1.0,0.082,0.0,AUTO,0.0,-0.5,False,1,0.0
119,50.962,-0.0016,0.0,2.674,-1.0,0.098,0.0,AUTO,0.0,-0.5,False,1,0.0
120,51.061,-0.0016,0.0,2.775,-1.0,0.067,0.0,AUTO,0.0,-0.5,False,1,0.0
121,51.164,-0.0016,0.0,2.912,1.0,0.026,0.0,AUTO,0.0,-0.5,False,1,0.0
122,51.263,-0.0016,0.0,3.002,1.0,0.0,0.001,AUTO,0.0,-0.5,False,1,0.0
123,51.367,-0.0016,0.0,2.989,1.0,0.003,0.0,AUTO,0.0,-0.5,False,1,0.0
124,51.465,-0.0016,0.0,2.866,1.0,0.04,0.0,AUTO,0.0,-0.5,False,1,0.0
125,51.563,-0.0016,0.0,2.772,-1.0,0.068,0.0,AUTO,0.0,-0.5,False,1,0.0
126,51.663,-0.0016,0.0,2.751,-1.0,0.075,0.0,AUTO,0.0,-0.5,False,1,0.0
127,51.76,-0.0016,0.0,2.8,-1.0,0.06,0.0,AUTO,0.0,-0.5,False,1,0.0
128,51.861,-0.0016,0.0,2.916,1.0,0.025,0.0,AUTO,0.0,-0.5,False,1,0.0
129,51.965,-0.0016,0.0,3.009,1.0,0.0,0.003,AUTO,0.0,-0.5,False,1,0.0
130,52.061,-0.0016,0.0,2.968,1.0,0.01,0.0,AUTO,0.0,-0.5,False,1,0.0
131,52.161,-0.0016,0.0,2.852,1.0,0.044,0.0,AUTO,0.0,-0.5,False,1,0.0
132,52.261,-0.0016,0.0,2.761,-1.0,0.072,0.0,AUTO,0.0,-0.5,False,1,0.0
133,52.367,-0.0016,0.0,2.719,-1.0,0.084,0.0,AUTO,0.0,-0.5,False,1,0.0
134,52.465,-0.0016,0.0,2.794,-1.0,0.062,0.0,AUTO,0.0,-0.5,False,1,0.0
135,52.598,-0.0016,0.0,2.89,-1.0,0.033,0.0,AUTO,0.0,-0.5,False,0,0.0
136,52.7,-0.0016,0.0,3.012,1.0,0.0,0.004,AUTO,0.0,-0.5,False,1,0.0
137,52.798,-0.0016,0.0,3.068,1.0,0.0,0.02,AUTO,0.0,-0.5,False,1,0.0
138,52.897,-0.0016,0.0,2.993,1.0,0.002,0.0,AUTO,0.0,-0.5,False,1,0.0
139,52.994,-0.0016,0.0,2.847,1.0,0.046,0.0,AUTO,0.0,-0.5,False,1,0.0
140,53.095,-0.0016,0.0,2.752,-1.0,0.074,0.0,AUTO,0.0,-0.5,False,0,0.0
141,53.199,-0.0016,0.0,2.722,-1.0,0.083,0.0,AUTO,0.0,-0.5,False,1,0.0
142,53.296,-0.0016,0.0,2.805,-1.0,0.058,0.0,AUTO,0.0,-0.5,False,0,0.0
143,53.395,-0.0016,0.0,2.916,1.0,0.025,0.0,AUTO,0.0,-0.5,False,1,0.0
144,53.494,-0.0016,0.0,2.988,1.0,0.004,0.0,AUTO,0.0,-0.5,False,1,0.0
145,53.629,-0.0016,0.0,2.979,1.0,0.006,0.0,AUTO,0.0,-0.5,False,1,0.0
146,53.732,-0.0016,0.0,2.818,-1.0,0.055,0.0,AUTO,0.0,-0.5,False,1,0.0
147,53.832,-0.0016,0.0,2.766,-1.0,0.07,0.0,AUTO,0.0,-0.5,False,1,0.0
148,53.929,-0.0016,0.0,2.815,-1.0,0.056,0.0,AUTO,0.0,-0.5,False,1,0.0
149,54.027,-0.0016,0.0,2.917,-1.0,0.025,0.0,AUTO,0.0,-0.5,False,1,0.0
150,54.129,-0.0016,0.0,2.977,1.0,0.007,0.0,AUTO,0.0,-0.5,False,1,0.0
